	Gene	wt	00-06	06-12	12-18	18-24	24-30	30-36
YHR037W	PUT2	17.1	20.38	95.62	13.39	6.02	11.99	19.6
YHR038W	RRF1	4.35	6.44	29.53	4.84	2.01	1.92	3.61
YHR039C	MSC7	17.59	22.08	45.72	11.97	9.79	11.7	12.36
YHR039C-A	VMA10	24.24	23.18	22.26	10.98	5.95	5.43	15.92
YHR040W	BCD1	5.34	7.74	25.2	8.9	17.29	20.58	21.89
YHR041C	SRB2	39.44	35.21	52.94	34.5	33.11	31.44	50.89
YHR042W	NCP1	37.19	39.07	65.74	20.95	10.44	16.15	33.87
YHR043C	DOG2	35.74	40.89	78.94	21.65	15.03	23.13	30.52
YHR044C	DOG1	21.09	23.49	160.91	18.79	14.79	17.58	18.2
YHR046C	INM1	7.66	9.58	218.44	35.3	22.34	17.12	12.49
YHR047C	AAP1	32.44	26.37	37.46	13.17	21.99	14.37	15.58
YHR049W	FSH1	63.33	45.17	217.58	24.99	21.66	7.93	27.61
YHR051W	COX6	14.6	16.78	30.13	10.55	11.66	11.33	9.28
YHR052W	CIC1	11.19	16.98	60.66	21.9	16.01	15.74	11.1
YHR056C	RSC30	7.87	13.03	24.45	4.46	4.96	6.57	10.2
YHR057C	CPR2	16.33	12.53	33.54	6.53	4.04	5.08	10.88
YHR058C	MED6	6.7	7.85	22.12	7.23	12.92	15.62	20.77
YHR060W	VMA22	17.27	16.36	29.03	15.63	13.3	11.26	14.06
YHR061C	GIC1	2.17	2.4	6.23	0.23	4.29	3.6	1.92
YHR062C	RPP1	12.06	11.81	65.48	19.54	17.13	19.67	17.41
YHR063C	PAN5	30.03	26.97	86.76	23.48	19.53	19.28	21.03
YHR064C	SSZ1	79.22	70.93	110.03	29.59	20.87	35.75	63.51
YHR065C	RRP3	10.77	11.34	56.37	16.38	25.44	31.95	14.67
YHR066W	SSF1	8.47	7.7	37.59	25.73	20.97	23.03	50.92
YHR067W	HTD2	12.83	14.77	76.88	23.39	25.82	28.59	19.92
YHR068W	DYS1	50.26	54.16	74.28	40.51	18.14	30.43	62.09
YHR069C	RRP4	6.06	11.38	28.71	6.33	24.02	25.79	9.44
YHR070W	TRM5	5.93	9.27	35.5	11.53	18.96	23.74	15.2
YHR071W	PCL5	11.74	14.84	21.65	5.18	7.11	6.45	7.93
YHR072W	ERG7	41.12	38.57	109.8	25.2	19.96	22.3	33.35
