	Gene	wt	00-06	06-12	12-18	18-24	24-30	30-36
YIL014W	MNT3	12.6	13.51	5.02	7.29	7.38	10.01	8.36
YIL011W	TIR3	1.21	1.33	1.39	1.36	0.96	0.9	1.91
YIL010W	DOT5	5.29	6.37	3.66	6.86	7.26	10.46	8.23
YIL009C-A	EST3	16.54	17.22	6.73	11.45	9.08	13.73	8.15
YIL009W	FAA3	16.58	15.79	4.68	9.9	8.85	5.31	13.19
YIL008W	URM1	30.21	26.79	16.08	19.74	16.16	12.38	8.77
YIL007C	NAS2	11.8	12.66	2.44	25.67	24.38	46.55	28.5
YIL006W	YIA6	9.96	10.03	0.58	51.4	14.43	9.07	16.33
YIL005W	EPS1	8.77	9.99	5.49	8.72	17.78	11.69	10.25
YIL004C	BET1	13.98	18.63	6.16	12.35	12.57	9.76	10.88
YIL003W	CFD1	8.53	7.57	5.15	11.2	10.64	11.96	7.69
YIL002C	INP51	6.32	7.7	2.37	13.21	8.73	16.52	11.67
YIR001C	SGN1	7.31	8.9	3.96	7.2	7.83	4.69	6.67
YIR002C	MPH1	10.43	9.84	5	315.33	37.58	28.24	16.59
YIR003W	YIR003W	6.66	6.11	2.37	8.59	12.87	12.66	9.56
YIR004W	DJP1	9.66	8.37	2.11	3.35	6.82	9.39	8.6
YIR006C	PAN1	18.97	20.28	8.42	11.51	26.01	26.52	13.15
YIR008C	PRI1	8.42	9.34	2.35	8.69	11.9	15.46	9.64
YIR010W	DSN1	24.12	20.51	6.28	37.77	1043.14	51.35	30.01
YIR011C	STS1	26.64	20.16	4.02	17.96	56.89	46.57	28.7
YIR012W	SQT1	29.64	29	7.43	10.62	12.72	4.32	5.39
YIR018W	YAP5	5.91	4.51	0.57	8.24	9.78	6.78	9.42
YIR022W	SEC11	9.93	11.44	7.2	11.32	8.95	7.82	7.59
YIR023W	DAL81	9.17	9.56	1.93	5.5	10.42	16.62	10.32
YIR024C	YIR024C	6.71	7.59	0.94	0.92	2.72	13.51	11.94
YIR026C	YVH1	14.55	15.28	4.74	6.08	4.64	3.36	1.8
YIR030C	DCG1	1.03	1.66	0.5	0.74	1.81	4.47	4.5
YIR031C	DAL7	15.09	5.5	1.51	5.37	164.75	41.96	205.56
YIR033W	MGA2	20.74	23.8	6.39	19.91	55.96	83.7	38.87
YIR034C	LYS1	8.69	9.31	3.62	8.93	21.32	22.57	16.65
YIR037W	HYR1	13.1	13.67	30.88	37.6	26.25	49.07	23.49
YIR038C	GTT1	3.52	3.32	4.74	6.91	10.29	15.44	12.74
YJL223C	PAU1	24.78	17.13	10.8	25.3	274.09	263.07	221.68
YJL217W	YJL217W	5.84	5.8	8.39	9.88	9.38	10.3	1.61
YJL213W	YJL213W	2.52	3.83	1.18	22.5	369.59	43.15	265.39
YJL212C	OPT1	10.07	13.05	2.46	5.68	6.46	4.29	5.8
YJL210W	PEX2	8.08	8.13	2.44	4.35	11.17	16.13	13.87
YJL209W	CBP1	14.38	13.7	1.93	4.7	149.38	26.8	20.43
YJL208C	NUC1	27.54	26.24	4.39	3.21	2.19	2.76	4.56
YJL207C	LAA1	20.67	20.02	7.82	14.18	9.05	14.41	13.54
YJL205C	NCE101	13.6	12.9	17.78	22.91	34.69	66.89	17.97
YJL204C	RCY1	4.69	4.46	2.32	3.83	4.81	6.75	3.73
YJL203W	PRP21	14.71	9.87	1.9	3.64	4.39	6.24	8.36
YJL201W	ECM25	21.46	21.11	4.54	18.82	57.48	31.17	20.98
YJL200C	ACO2	21.38	25.77	9.71	18.25	16.17	6.09	3.79
YJL198W	PHO90	34.58	31.99	10.65	25.42	24.24	18.25	8.04
YJL197W	UBP12	17.14	18.92	3.74	3.97	6.81	12.2	13.35
YJL196C	ELO1	38.95	31.86	32.17	111.44	261.35	166.28	89.26
YJL194W	CDC6	18.11	17.16	4.7	345.93	473.76	31.02	23.15
YJL192C	SOP4	13.7	17.41	28.61	62.61	32.08	29.21	17.96
YJL187C	SWE1	6.79	7.08	3.98	165.98	15.5	7.68	11.29
YJL186W	MNN5	19.78	22.71	14.31	77.99	70.2	47.07	26.71
YJL184W	GON7	14.8	17.28	12.92	30.44	19.83	25.1	11.21
YJL183W	MNN11	31.68	30.64	29.86	57.84	49.1	33.51	23.19
YJL180C	ATP12	16.92	14.53	3.66	16.74	55.54	50.71	16.69
YJL178C	ATG27	26.28	20.47	20.63	60.12	47.56	47.56	27.64
YJL176C	SWI3	11.46	13.86	3.68	31.43	11.93	5.37	9.46
YJL174W	KRE9	44.33	53.14	23.59	89.21	56.85	42.58	43.28
YJL173C	RFA3	19.01	19.22	19.75	40.01	55.49	51.22	27.34
YJL172W	CPS1	4.93	6.39	13.05	34.21	71.77	39.28	24.93
YJL171C	YJL171C	15.07	14.86	16.85	57.2	242.06	115.36	49
YJL168C	SET2	21.53	15.97	5.6	216.91	63.44	25.33	27.18
YJL167W	ERG20	31.96	30.83	27.87	82.67	96.08	81.92	48.72
YJL166W	QCR8	71.3	76.93	53.41	321.4	490.89	461.24	179.21
YJL165C	HAL5	18.83	18.27	3.94	26.25	50.63	58.85	37.56
YJL164C	TPK1	4.58	5.74	4.1	47.24	157.5	64.53	44.43
YJL159W	HSP150	116.11	93.72	60.46	128.34	474.3	224.16	116.38
YJL158C	CIS3	83.85	80.87	84.32	149.44	152.5	125	71.37
YJL157C	FAR1	54.19	41.54	10.69	9.99	6.7	2.71	3.18
YJL155C	FBP26	4.76	5.73	1.14	2.38	13.99	25.36	16.35
YJL154C	VPS35	26.25	22.36	8.9	14.15	34.89	36.01	22.55
YJL153C	INO1	3.61	0.21	2.18	104.46	19.24	11.8	7.77
YJL151C	SNA3	33.19	31.56	23.64	63.18	85.06	91.77	42.34
YJL148W	RPA34	96.14	93.91	30.95	55.89	30.65	12.76	8.4
YJL146W	IDS2	14.64	12.49	3.46	19.65	22.68	18.63	11.82
YJL145W	SFH5	1.84	1.24	5.61	42.49	55.01	50.85	18.67
YJL143W	TIM17	42.17	44.9	16.86	40.5	19.26	23.52	33.89
YJL141C	YAK1	21.84	19.37	9.94	880.36	3459.82	206.01	66.18
YJL140W	RPB4	35.41	31.29	15.8	38.42	58.42	78.89	44.03
YJL138C	TIF2	94.87	78.19	97.03	176.08	557.66	220.59	73.29
YJL137C	GLG2	4.01	5.27	3.18	12.69	13.55	6.64	4.43
YJL134W	LCB3	26.15	25.49	10.27	24.95	18.63	10.02	7.62
YJL133W	MRS3	34.62	32.41	6.47	35.22	23.07	14.55	15.63
YJL131C	YJL131C	6.29	5.83	1.37	1.64	3.79	8.19	10.9
YJL130C	URA2	61.28	45.3	48.9	94.12	139.1	47.3	16.93
YJL129C	TRK1	21.37	22.89	5.31	6.99	7.23	8.37	6.92
YJL128C	PBS2	17.33	16.81	3.57	7.38	19.94	16.32	15.1
YJL126W	NIT2	3.44	3.08	1.24	3.49	4.38	6.74	8.11
YJL125C	GCD14	17.92	19.34	2.39	6.36	3.97	3.41	4.69
YJL124C	LSM1	34.08	37.3	16.21	23.75	36.19	35.62	35.41
YJL123C	YJL123C	18.75	20.43	3.77	7.83	14.05	10.36	9.14
YJL122W	ALB1	71.8	69.47	14.41	24.87	29.03	13.19	10.5
YJL121C	RPE1	20.4	21.86	24.84	41.26	44.28	34.07	13.57
YJL118W	YJL118W	8.48	10.48	1.84	6.16	1.54	17.11	1.42
YJL117W	PHO86	29.49	31.57	15.79	36.45	51.09	54.2	33.4
YJL115W	ASF1	14.2	14.53	3.39	9.38	9.61	7.58	17.06
YJL112W	MDV1	6.07	5.16	1.24	2.71	18.74	12.2	7.66
YJL111W	CCT7	39.61	37.8	17.93	27.99	33.45	32.55	32.71
YJL110C	GZF3	28.82	17.69	2.07	2.49	5.17	8.18	12.87
YJL109C	UTP10	41.09	37.5	12.56	25.04	19.39	10.95	5.91
YJL104W	PAM16	19.79	25.79	7.54	18.91	22.03	33.27	32.5
YJL102W	MEF2	5.84	4.49	2.2	1.82	15.37	153.44	10.39
YJL101C	GSH1	18.73	16.36	5.35	9.78	18.2	14.91	21.48
YJL098W	SAP185	36.38	28.06	2.66	2.54	2.34	3.39	36.98
YJL097W	PHS1	13.87	20.31	4.86	7.15	8.22	11.99	10.15
YJL096W	MRPL49	19.39	26.04	4.46	9.37	31.46	69.66	40.33
YJL095W	BCK1	8.09	8.48	3.17	5.8	7.87	15.56	101.42
YJL094C	KHA1	9.77	10.95	2.59	2.98	4.35	16.36	17.8
YJL093C	TOK1	12.12	11.21	3.84	6.72	19.05	19.43	21.14
YJL092W	SRS2	11.01	13.96	3.83	6.05	7.63	10.61	8.33
YJL091C	GWT1	16.31	14.17	4.81	4.98	8.25	8.74	9.01
YJL090C	DPB11	16.17	16.47	2.24	3.03	13.41	47.29	23.35
YJL088W	ARG3	1.92	3.83	1.2	6.37	22.62	51.17	33.73
YJL085W	EXO70	7.35	8.46	1.47	1.95	2.76	5.36	8.81
YJL084C	ALY2	12.78	14.79	2.05	4.27	9.34	32.22	17.86
YJL082W	IML2	12.96	13.01	2.54	9.28	13.51	13.48	106.6
YJL081C	ARP4	12.88	13.11	4.88	5.4	3.91	4.06	6.56
YJL080C	SCP160	38.98	38.42	41.93	83.88	75.96	48.82	25.97
YJL079C	PRY1	17.9	19.78	7.67	11.86	12.85	17.17	13.1
YJL078C	PRY3	12.03	17.5	3.01	4.77	4.24	2.21	2.35
YJL076W	NET1	20.94	18.76	10.04	22.16	35.43	21.96	15.14
YJL074C	SMC3	10.39	11.7	3.12	4.6	2.96	4.05	4.35
YJL073W	JEM1	4.44	7.56	2.03	2.17	4.34	4.15	3.97
YJL072C	PSF2	11.37	11.99	2.68	2.66	3.45	5.67	9.74
YJL071W	ARG2	7.81	8.07	2.48	2.45	3.37	8.13	7.54
YJL069C	UTP18	43.38	36.53	6.21	10.08	9.67	5.66	3.51
